Node_1 Node_2    
"0,    427”,     
"0,    16976",   
"0,    12029",   
"0,    3001",    
"0,    14581",   
"0,    14145",   
"0,    25564",   
"1,    26065",   
"1,    2514",    
"1,    16675",   
"1,    19675",   
"1,    34",      
"1,    19",      
"1,    2211",    
"1,    2003",    
"1,    1129",    
"1,    5011",    
"1,    24836",   
"1,    18843",   
"1,    10646",   
"1,    22658",   
"1,    6133",    
"1,    21695",   
"1,    23366",   
"1,    20208",   
"1,    26238",   
"1,    16152",   
"1,    24911",   
"1,    10314",   
"1,    17",      
"1,    12734",   
"1,    13802",   
"1,    19211",   
"1,    3153",    
"1,    24435",   
"1,    137",     
"1,    23544",   
"1,    25311",   
"1,    11706",   
"1,    28238",   
"1,    22673",   
"1,    329",     
"1,    15292",   
"1,    7618",    
"1,    8071",    
"1,    15355",   
"1,    3364",    
"1,    22616",   
"1,    8884",    
"1,    21365",   
"1,    19996",   
"1,    24213",   
"1,    16211",   
"1,    9264",    
"1,    18934",   
"1,    875",     
"1,    24342",   
"1,    2039",    
"1,    16374",   
"1,    5789",    
"1,    23558",   
"1,    2693",    
"1,    9051",    
"1,    25638",   
"1,    23019",   
"1,    2263",    
"1,    11329",   
"1,    215",     
"1,    6163",    
"1,    11558",   
"1,    349",     
"1,    20689",   
"1,    4069",    
"1,    951",     
"1,    14603",   
"1,    1422",    
"1,    26277",   
"1,    15057",   
"1,    22581",   
"2,    26177",   
"2,    9835",    
"2,    14276",   
"2,    10082",   
"2,    3354",    
"2,    18084",   
"2,    32",      
"2,    808",     
"2,    24576",   
"3,    3585",    
"3,    5607",    
"3,    9093",    
"3,    515",     
"3,    2428",    
"3,    12034",   
"3,    3421",    
"3,    16049",   
"3,    15401",   
"4,    1116",    
"4,    5252",    
"4,    16304",   
"4,    10838",   
"4,    24023",   
"4,    5203",    
"4,    14995",   
"4,    23757",   
"4,    17462",   
"4,    6347",    
"4,    24122",   
"5,    204",     
"5,    19454",   
"5,    13709",   
"5,    5786",    
"5,    2518",    
"5,    872",     
"5,    4081",    
"5,    2437",    
"5,    19435",   
"5,    1971",    
"5,    13491",   
"5,    22487",   
"5,    11385",   
"5,    19171",   
"5,    8775",    
"5,    14947",   
"5,    11958",   
"5,    14732",   
"5,    1178",    
"5,    28065",   
"5,    25982",   
"5,    2362",    
"5,    7224",    
"5,    27927",   
"5,    9798",    
"5,    23684",   
"5,    7029",    
"5,    8596",    
"5,    18753",   
"5,    14974",   
"6,    935",     
"7,    17761",   
"7,    5961",    
"7,    21431",   
"7,    13649",   
"7,    22775",   
"7,    24884",   
"7,    9443",    
"8,    10111",   
"8,    21633",   
"8,    21665",   
"8,    6268",    
"8,    15515",   
"9,    9375",    
"9,    2542",    
"9,    27562",   
"10    ,6885",   
"10    ,23165",  
"10    ,19601",  
"10    ,1676",   
"10    ,18366",  
"10    ,10619",  
"10    ,3818",   
"10    ,26716",  
"10    ,16702",  
"10    ,4711",   
"11    ,25459",  
"12    ,23475",  
"12    ,18926",  
"12    ,26124",  
"12    ,8766",   
"13    ,12855",  
"13    ,19193",  
"13    ,21577",  
"13    ,22973",  
"13    ,7626",   
"13    ,1379",   
"13    ,14835",  
"13    ,1613",   
"13    ,23372",  
"13    ,25684",  
"13    ,14832",  
"14    ,25844",  
"14    ,13556",  
"14    ,5393",   
"14    ,19287",  
"14    ,103",    
"14    ,16486",  
"15    ,1197",   
"16    ,2156",   
"16    ,2349",   
"16    ,8113",   
"16    ,10711",  
"17    ,19507",  
"17    ,8426",   
"17    ,24836",  
"17    ,8149",   
"17    ,34",     
"17    ,871",    
"17    ,9036",   
"17    ,432",    
"17    ,3343",   
"17    ,17777",  
"17    ,10051",  
"17    ,11267",  
"17    ,19949",  
"17    ,1654",   
"17    ,19211",  
"17    ,20013",  
"17    ,4069",   
"17    ,45",     
"17    ,27135",  
"17    ,13333",  
"17    ,2778",   
"18    ,26476",  
"18    ,19419",  
"18    ,3197",   
"18    ,4999",   
"18    ,13222",  
"18    ,18874",  
"19    ,18591",  
"20    ,14017",  
"20    ,1489",   
"20    ,2964",   
"20    ,18732",  
"20    ,12596",  
"20    ,28169",  
"20    ,11214",  
"20    ,22656",  
"20    ,11361",  
"21    ,10379",  
"21    ,25302",  
"22    ,7659",   
"22    ,25689",  
"22    ,4877",   
"22    ,2261",   
"23    ,1773",   
"23    ,18425",  
"23    ,20108",  
"23    ,15308",  
"23    ,22104",  
"23    ,28194",  
"23    ,1007",   
"23    ,3186",   
"23    ,25545",  
"23    ,729",    
"23    ,2602",   
"23    ,3667",   
"23    ,21079",  
"23    ,184",    
"23    ,8818",   
"23    ,221",    
"23    ,26961",  
"23    ,21377",  
"23    ,26061",  
"24    ,21525",  
"24    ,24135",  
"24    ,8948",   
"24    ,22558",  
"24    ,23719",  
"24    ,199",    
"24    ,12266",  
"24    ,1544",   
"25    ,23717",  
"25    ,10553",  
"25    ,22541",  
"26    ,24468",  
"26    ,11409",  
"26    ,20664",  
"27    ,18884",  
"27    ,6282",   
"28    ,5961",   
"28    ,9706",   
"28    ,84",     
"28    ,1431",   
"28    ,21771",  
"28    ,101",    
"28    ,507",    
"29    ,175",    
"29    ,1074",   
"29    ,1658",   
"29    ,793",    
"29    ,13787",  
"29    ,582",    
"29    ,18761",  
"30    ,19375",  
"30    ,20172",  
"30    ,18133",  
"30    ,19467",  
"30    ,4717",   
"30    ,20523",  
"31    ,18244",  
"31    ,27099",  
"31    ,23549",  
"31    ,5536",   
"31    ,2562",   
"31    ,19445",  
"31    ,27333",  
"31    ,26861",  
"31    ,24664",  
"31    ,27496",  
"31    ,6504",   
"31    ,16287",  
"31    ,26194",  
"31    ,69",     
"32    ,9035",   
"32    ,8757",   
"32    ,4399",   
"32    ,10456",  
"32    ,16734",  
"32    ,2495",   
"32    ,21483",  
"32    ,14828",  
"33    ,27821",  
"33    ,5327",   
"33    ,8096",   
"33    ,19712",  
"33    ,18679",  
"33    ,21438",  
"33    ,22416",  
"33    ,5485",   
"34    ,20689",  
"34    ,19411",  
"34    ,3343",   
"34    ,19926",  
"35    ,8781",   
"35    ,16983",  
"35    ,18626",  
"35    ,9395",   
"35    ,2015",   
"36    ,22491",  
"36    ,251",    
"36    ,17782",  
"37    ,15866",  
"37    ,2454",   
"38    ,9228",   
"38    ,6079",   
"38    ,12436",  
"39    ,14687",  
"39    ,17527",  
"39    ,22714",  
"39    ,11436",  
"40    ,406",    
"40    ,2841",   
"40    ,10535",  
"40    ,9095",   
"40    ,24415",  
"40    ,341",    
"40    ,20724",  
"41    ,21886",  
"42    ,8799",   
"43    ,11538",  
"43    ,903",    
"43    ,11484",  
"43    ,1965",   
"43    ,1321",   
"43    ,27779",  
"44    ,15561",  
"45    ,18082",  
"45    ,17599",  
"45    ,6841",   
"45    ,22164",  
"45    ,20941",  
"45    ,25992",  
"45    ,5751",   
"45    ,9231",   
"46    ,2045",   
"46    ,25638",  
"46    ,10591",  
"46    ,18949",  
"46    ,26019",  
"46    ,18197",  
"47    ,26283",  
"47    ,12423",  
"47    ,10114",  
"47    ,27488",  
"47    ,15049",  
"47    ,24934",  
"47    ,18846",  
"47    ,2094",   
"47    ,20953",  
"48    ,1049",   
"48    ,9981",   
"48    ,9343",   
"48    ,5448",   
"48    ,7832",   
"48    ,2671",   
"48    ,2173",   
"48    ,882",    
"48    ,22001",  
"49    ,17836",  
"49    ,8898",   
"49    ,14731",  
"49    ,25425",  
"49    ,15312",  
"49    ,11952",  
"49    ,26244",  
"49    ,7042",   
"49    ,14636",  
"49    ,2094",   
"49    ,2024",   
"49    ,9919",   
"49    ,18015",  
"50    ,2003",   
"51    ,4893",   
"51    ,18772",  
"51    ,7162",   
"51    ,25472",  
"51    ,424",    
"51    ,24461",  
"51    ,2093",   
"51    ,7423",   
"51    ,5705",   
"51    ,7956",   
"52    ,8068",   
"52    ,2214",   
"52    ,2929",   
"52    ,902",    
"52    ,3871",   
"52    ,9263",   
"53    ,19033",  
"53    ,23641",  
"54    ,14976",  
"54    ,2958",   
"54    ,26364",  
"54    ,23183",  
"54    ,18082",  
"54    ,20427",  
"54    ,11599",  
"55    ,17061",  
"56    ,2386",   
"56    ,25588",  
"56    ,14287",  
"56    ,13839",  
"56    ,18061",  
"56    ,25008",  
"56    ,16856",  
"56    ,16351",  
"56    ,5747",   
"56    ,27423",  
"56    ,24242",  
"57    ,25505",  
"57    ,14871",  
"57    ,1023",   
"57    ,12511",  
"58    ,9669",   
"58    ,4422",   
"58    ,27372",  
"58    ,10072",  
"59    ,1858",   
"60    ,23309",  
"60    ,2243",   
"60    ,11867",  
"60    ,19157",  
"60    ,2482",   
"61    ,22474",  
"61    ,13707",  
"62    ,27686",  
"62    ,9795",   
"62    ,12869",  
"62    ,867",    
"62    ,1878",   
"62    ,10457",  
"63    ,8044",   
"63    ,17896",  
"63    ,9646",   
"64    ,20562",  
"64    ,12632",  
"64    ,20024",  
"64    ,7396",   
"65    ,2048",   
"65    ,11134",  
"65    ,782",    
"65    ,17214",  
"65    ,2017",   
"65    ,17048",  
"65    ,1083",   
"65    ,8312",   
"65    ,1535",   
"66    ,3585",   
"66    ,23874",  
"67    ,21126",  
"67    ,9569",   
"67    ,22283",  
"67    ,17075",  
"67    ,693",    
"67    ,22149",  
"67    ,14901",  
"67    ,24779",  
"67    ,3872",   
"67    ,23922",  
"67    ,13405",  
"67    ,1324",   
"67    ,26497",  
"67    ,14431",  
"67    ,17543",  
"68    ,1284",   
"68    ,9903",   
"68    ,17027",  
"68    ,65",     
"68    ,1206",   
"68    ,16309",  
"70    ,4161",   
"70    ,21728",  
"70    ,12253",  
